Region	Country	ISO code	ADM1	Latitude	Longitude	Year start	Year end	Age start	Age end	Combined Prevalence	Maximum Prevalence
Africa	Nigeria	NG	Ogun	6.95052	3.50788	2003	2005	5	16	0.578208	0.6129
Africa	Nigeria	NG	Ogun	7.17839	3.40017	2003	2005	5	16	0.314462	0.33333
Africa	Nigeria	NG	Ogun	7.11371	3.61504	2003	2005	5	16	0.601415	0.6375
Africa	Nigeria	NG	Ogun	6.48545	4.39632	2003	2005	5	16	0.423849	0.44928
Africa	Nigeria	NG	Ogun	6.6941	3.2375	2003	2005	5	16	0.314462	0.33333
Africa	Nigeria	NG	Ogun	6.92993	3.22053	2003	2005	5	16	0.34067	0.36111
Africa	Nigeria	NG	Ogun	6.48536	4.39012	2003	2005	5	16	0.433962	0.46
Africa	Nigeria	NG	Ogun	6.89274	3.20108	2003	2005	5	16	0.484443	0.51351
Africa	Nigeria	NG	Ogun	7.23144	3.527	2003	2005	5	16	0.799491	0.84746
Africa	Nigeria	NG	Ogun	6.94091	3.50169	2003	2005	5	16	0.477821	0.50649
East and Southeast Asia	Philippines	PH	Region IV (Southern Tagalog)	14.348358	121.084919	1998	1998	6	12	0.459748	0.33231
East and Southeast Asia	Philippines	PH	Region VII (Central Visayas)	10.339008	123.879733	2000	2000	5	7	0.866386	0.71429
East and Southeast Asia	Philippines	PH	Region I (Ilocos region)	16.003377	120.316161	2000	2000	5	7	0.916934	0.875
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.640555	121.014166	2000	2000	5	7	0.473644	0.28358
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.698888	121.095	2000	2000	5	7	0.754518	0.54348
East and Southeast Asia	Philippines	PH	Region VII (Central Visayas)	10.291	123.875138	2000	2000	5	7	0.644183	0.46377
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.697222	121.088055	2000	2000	5	7	0.618821	0.43478
East and Southeast Asia	Philippines	PH	Region III (Central Luzon)	15.3046	120.932	2000	2000	5	7	0.8902	0.76667
East and Southeast Asia	Philippines	PH	Region I (Ilocos region)	16.018183	120.298969	2000	2000	5	7	0.617925	0.425
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.618963	121.051013	2000	2000	5	7	0.304641	0.1875
East and Southeast Asia	Philippines	PH	Region VII (Central Visayas)	10.3175	123.8775	2000	2000	5	7	0.685622	0.51724
East and Southeast Asia	Philippines	PH	Region XI (Southern Mindanao)	7.073611	125.619166	2000	2000	5	7	0.656241	0.48438
East and Southeast Asia	Philippines	PH	Region III (Central Luzon)	15.242002	120.954825	2000	2000	5	7	0.735266	0.5303
East and Southeast Asia	Philippines	PH	Region XI (Southern Mindanao)	7.109166	125.612222	2000	2000	5	7	0.338958	0.23636
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.6275	121.046388	2000	2000	5	7	0.369095	0.28302
East and Southeast Asia	Philippines	PH	Region IV (Southern Tagalog)	14.442222	120.904722	2000	2000	5	7	0.402707	0.30488
East and Southeast Asia	Philippines	PH	Region III (Central Luzon)	15.303333	120.936111	2000	2000	5	7	0.866387	0.71429
East and Southeast Asia	Philippines	PH	Region IV (Southern Tagalog)	14.437022	120.893244	2000	2000	5	7	0.235368	0.13514
East and Southeast Asia	Philippines	PH	Region I (Ilocos region)	16.0332	120.266341	2000	2000	5	7	0.943396	1
East and Southeast Asia	Philippines	PH	Region IV (Southern Tagalog)	14.4181	120.857	2000	2000	5	7	0.781211	0.71429
East and Southeast Asia	Philippines	PH	Region III (Central Luzon)	15.2675	120.949722	2000	2000	5	7	0.692185	0.58491
East and Southeast Asia	Philippines	PH	Region I (Ilocos region)	15.978333	120.313333	2000	2000	5	7	0.619827	0.46316
East and Southeast Asia	Philippines	PH	Region III (Central Luzon)	15.308055	120.946666	2000	2000	5	7	0.781109	0.59574
East and Southeast Asia	Philippines	PH	Region IV (Southern Tagalog)	14.348975	121.080986	2002	2005	8	9	0.014381	0.00924
East and Southeast Asia	Philippines	PH	Region IV (Southern Tagalog)	14.331388	121.055833	2002	2005	8	9	0.009544	0.00662
East and Southeast Asia	Philippines	PH	Region IV (Southern Tagalog)	14.345833	121.088611	2002	2005	8	9	0.017746	0.00978
East and Southeast Asia	Philippines	PH	Region IV (Southern Tagalog)	14.282222	121.053888	2002	2005	8	9	0.007476	0.00479
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.529444	121.071388	2005	2005	8	9	0.179835	0.125
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.739166	121.053333	2005	2005	8	9	0.049651	0.05263
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.526919	121.041252	2005	2005	8	9	0.042877	0.04545
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.476944	121.058611	2005	2005	8	9	0.13623	0.10638
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.617222	121.056944	2005	2005	8	9	0.069028	0.07317
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.586597	121.053194	2005	2005	8	9	0.293585	0.18
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.521944	121.056944	2005	2005	8	9	0.148233	0.12903
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.675277	121.082222	2005	2005	8	9	0.040573	0.02174
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.551652	121.058055	2005	2005	8	9	0.246038	0.16
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.74	121.061388	2005	2005	8	9	0.192534	0.14286
East and Southeast Asia	Philippines	PH	National Capital region (NCR)	14.690833	121.06	2005	2005	8	9	0.195443	0.10959
East and Southeast Asia	Philippines	PH	Region XI (Southern Mindanao)	7.360833	125.707222	2009	2009	5	14	0.258816	0.15094
East and Southeast Asia	Philippines	PH	Region XI (Southern Mindanao)	7.393055	125.717777	2012	2012	6	17	0.196544	0.16667
East and Southeast Asia	Philippines	PH	Region XI (Southern Mindanao)	7.393055	125.717777	2012	2012	6	17	0.079875	0.04348
East and Southeast Asia	Philippines	PH	Region XI (Southern Mindanao)	7.514616	125.587688	2012	2012	6	17	0.156958	0.1
