Region	Country	ISO_code	ADM1	Latitude	Longitude	Year_start	Year_end	Age_start	Age_end	Individuals_surveyed	Number_Positives	Prevalence
Africa	Uganda	UG	Iganga	0.261283	33.514	2003	2003	6	14	120	95	0.79167
Africa	Uganda	UG	Hoima	1.67482	31.250999	2003	2003	6	14	120	33	0.275
Africa	Uganda	UG	Masindi	1.8107	31.3703	2003	2003	6	14	108	63	0.58333
Africa	Uganda	UG	Nebbi	2.24848	31.317801	2003	2003	6	14	120	17	0.14167
Africa	Uganda	UG	Arua	3.02178	30.9095	2003	2003	6	14	119	39	0.32773
Africa	Uganda	UG	Tororo	0.247283	33.993401	2003	2003	6	14	117	81	0.69231
Africa	Uganda	UG	Tororo	0.238267	33.945301	2003	2003	6	14	120	79	0.65833
Africa	Uganda	UG	Masindi	2.17778	31.3829	2003	2003	6	14	100	43	0.43
Africa	Uganda	UG	Iganga	0.193133	33.865002	2003	2003	6	14	117	33	0.28205
Africa	Uganda	UG	Nebbi	2.49985	31.468201	2003	2003	6	14	120	59	0.49167
Africa	Uganda	UG	Moyo	3.56128	31.820801	2003	2003	6	14	119	65	0.54622
Africa	Uganda	UG	Iganga	0.355633	33.442402	2003	2003	6	14	120	95	0.79167
Africa	Uganda	UG	Tororo	0.264317	33.987801	2003	2003	6	14	148	70	0.47297
Africa	Uganda	UG	Tororo	0.286867	34.033501	2003	2003	6	14	119	50	0.42017
Africa	Uganda	UG	Iganga	0.177817	33.5611	2003	2003	6	14	114	71	0.62281
Africa	Uganda	UG	Hoima	1.7317	31.310699	2003	2003	6	14	116	34	0.2931
Africa	Uganda	UG	Nebbi	2.52397	31.463301	2003	2003	6	14	120	72	0.6
Africa	Uganda	UG	Mbale	0.84306	34.299999	2009	2009	5	18	62	19	0.30645
Africa	Uganda	UG	Iganga	0.70334	33.633499	2009	2009	5	18	59	19	0.32203
Africa	Uganda	UG	Masaka	0.00917	31.243099	2009	2009	5	18	58	19	0.32759
Africa	Uganda	UG	Gulu	3.50466	32.078899	2009	2009	5	18	64	0	0
Africa	Uganda	UG	Kitgum	2.76688	33.3046	2009	2009	5	18	55	1	0.01818
Africa	Uganda	UG	Iganga	0.65294	33.4119	2009	2009	5	18	60	19	0.31667
Africa	Uganda	UG	Kitgum	3.30763	32.8727	2009	2009	5	18	60	0	0
Africa	Uganda	UG	Mubende	0.29734	31.936399	2009	2009	5	18	55	0	0
Africa	Uganda	UG	Mbale	1.11175	34.200699	2009	2009	5	60	47	14	0.19787
Africa	Uganda	UG	Kitgum	2.68828	32.792301	2009	2009	5	60	63	0	0
Africa	Uganda	UG	Kitgum	3.52066	32.864601	2009	2009	5	18	62	0	0
Africa	Uganda	UG	Gulu	3.2652	32.221199	2009	2009	5	18	61	0	0
Africa	Uganda	UG	Gulu	3.28016	32.367401	2009	2009	5	18	59	0	0
Africa	Uganda	UG	Gulu	2.68677	32.785198	2009	2009	5	60	58	6	0.10345
Africa	Uganda	UG	Iganga	0.59436	33.537998	2009	2009	5	18	59	19	0.32203
Africa	Uganda	UG	Rakai	-0.58808	31.130501	2009	2009	5	60	5	0	0
Africa	Uganda	UG	Kumi	1.35407	33.7505	2009	2009	5	18	60	4	0.06667
Africa	Uganda	UG	Kitgum	3.29288	32.9855	2009	2009	5	18	60	0	0
Africa	Uganda	UG	Mbale	1.3688	34.306702	2009	2009	5	18	56	10	0.17857
Africa	Uganda	UG	Kitgum	3.30366	32.8923	2009	2009	5	18	57	0	0
Africa	Uganda	UG	Mbale	1.28899	34.256302	2009	2009	5	18	57	7	0.12281
Africa	Uganda	UG	Mubende	0.36585	31.759399	2009	2009	5	18	48	0	0
Africa	Uganda	UG	Gulu	2.5982	31.847401	2009	2009	5	18	60	0	0
Africa	Uganda	UG	Masaka	0.02863	31.2463	2009	2009	5	18	50	4	0.08
Africa	Uganda	UG	Mubende	0.40665	31.9928	2009	2009	5	18	55	0	0
Africa	Uganda	UG	Kamuli	1.14955	33.5284	2009	2009	5	18	58	11	0.18965
Africa	Uganda	UG	Gulu	2.5394	31.8482	2009	2009	5	18	58	0	0
Africa	Uganda	UG	Mbale	0.80528	34.378201	2009	2009	5	18	66	7	0.10606
Africa	Uganda	UG	Rakai	-0.89491	31.736099	2009	2009	5	18	56	13	0.23214
Africa	Uganda	UG	Kitgum	3.13995	32.910702	2009	2009	5	18	63	0	0
Africa	Uganda	UG	Rakai	-0.58808	31.130501	2009	2009	5	60	45	16	0.35556
Africa	Uganda	UG	Tororo	0.83889	34	2009	2009	5	18	60	18	0.3
Africa	Uganda	UG	Pallisa	1.13333	33.950001	2009	2009	5	18	61	12	0.19672
Africa	Uganda	UG	Kitgum	3.26783	33.0448	2009	2009	5	18	65	0	0
Africa	Uganda	UG	Iganga	0.72515	33.540501	2009	2009	5	18	58	11	0.18965
Africa	Uganda	UG	Rakai	-0.64697	31.2787	2009	2009	5	18	59	7	0.11864
Africa	Uganda	UG	Kamuli	0.9161	33.440102	2009	2009	5	18	58	5	0.08621
Africa	Uganda	UG	Kitgum	2.78172	33.168301	2009	2009	5	18	62	1	0.01613
Africa	Uganda	UG	Kumi	1.60301	33.914799	2009	2009	5	18	58	0	0
Africa	Uganda	UG	Iganga	0.79102	33.537998	2009	2009	5	18	56	23	0.41071
Africa	Uganda	UG	Mubende	0.30213	31.8396	2009	2009	5	60	30	0	0
Africa	Uganda	UG	Mbale	1.34894	34.282398	2009	2009	5	18	62	26	0.41936
Africa	Uganda	UG	Mbale	0.93911	34.1339	2009	2009	5	18	64	13	0.20313
Africa	Uganda	UG	Masaka	0.00144	31.5145	2009	2009	5	18	57	5	0.08772
Africa	Uganda	UG	Kumi	1.46864	33.723202	2009	2009	5	18	60	2	0.03333
Africa	Uganda	UG	Kitgum	2.76466	33.3078	2009	2009	5	18	60	1	0.01667
Africa	Uganda	UG	Mbale	1.45677	34.386902	2009	2009	5	18	60	10	0.16667
Africa	Uganda	UG	Gulu	3.24144	32.160599	2009	2009	5	18	64	0	0
Africa	Uganda	UG	Gulu	2.68203	32.729599	2009	2009	5	18	57	0	0
Africa	Uganda	UG	Kitgum	3.30936	32.896801	2009	2009	5	18	48	2	0.04167
Africa	Uganda	UG	Mubende	0.31389	31.916401	2009	2009	5	18	55	0	0
Africa	Uganda	UG	Gulu	2.68216	32.7257	2009	2009	5	60	70	5	0.07143
Africa	Uganda	UG	Mubende	0.38327	31.968901	2009	2009	5	60	32	0	0
Africa	Uganda	UG	Rakai	-0.64271	31.1052	2009	2009	5	18	54	5	0.09259
Africa	Uganda	UG	Kitgum	2.75622	32.777699	2009	2009	5	60	62	2	0.03226
Africa	Uganda	UG	Masaka	0.0276	31.327801	2009	2009	5	18	58	0	0
Africa	Uganda	UG	Mubende	0.7851	31.685499	2009	2009	5	18	52	0	0
Africa	Uganda	UG	Rakai	-0.70953	31.591801	2009	2009	5	18	58	5	0.08621
Africa	Uganda	UG	Mbale	1.29279	34.254902	2009	2009	5	60	44	11	0.25
Africa	Uganda	UG	Mubende	0.72902	31.814899	2009	2009	5	18	54	0	0
Africa	Uganda	UG	Kitgum	3.39606	33.015499	2009	2009	5	18	63	1	0.01587
Africa	Uganda	UG	Mubende	0.79084	31.7304	2009	2009	5	18	41	0	0
Africa	Uganda	UG	Rakai	-0.66779	31.3036	2009	2009	5	18	58	7	0.12069
Africa	Uganda	UG	Gulu	2.87378	32.547401	2009	2009	5	18	60	0	0
Africa	Uganda	UG	Gulu	3.16201	32.363602	2009	2009	5	18	62	0	0
Africa	Uganda	UG	Mubende	0.32448	31.9729	2009	2009	5	18	27	0	0
Africa	Uganda	UG	Gulu	3.47334	32.068901	2009	2009	5	18	51	0	0
Africa	Uganda	UG	Mbale	1.49697	34.440601	2009	2009	5	18	56	1	0.01786
Africa	Uganda	UG	Kumi	1.6175	33.771198	2009	2009	5	18	58	0	0
Africa	Uganda	UG	Gulu	2.51872	31.8402	2009	2009	5	18	59	1	0.01695
Africa	Uganda	UG	Mubende	0.30923	31.8438	2009	2009	5	18	52	0	0
Africa	Uganda	UG	Gulu	2.84254	32.2159	2009	2009	5	18	60	0	0
