Region	Country	ISO_code	ADM1	Latitude	Longitude	Year_start	Year_end	Age_start	Age_end	Individuals_surveyed	Number_Positives	Prevalence
Africa	Uganda	UG	Rakai	-0.533	31.25	2002	2002	5	16	73	0	0
Africa	Uganda	UG	Kotido	3.6461	34.077702	1998	2005	6	15	39	0	0
Africa	Uganda	UG	Kitgum	3.26083	32.924301	1998	2005	7	13	61	0	0
Africa	Uganda	UG	Jinja	0.594383	33.110001	1998	2005	7	13	116	2	0.01724
Africa	Uganda	UG	Luwero	1.30412	32.5467	1998	2005	8	13	62	0	0
Africa	Uganda	UG	Bundibugyo	1.04708	30.536301	1998	2005	8	13	59	50	0.84746
Africa	Uganda	UG	Moroto	2.38577	34.507401	1998	2005	12	16	59	0	0
Africa	Uganda	UG	Gulu	2.60457	32.1745	1998	2005	8	13	30	0	0
Africa	Uganda	UG	Mpigi	0.14806	32.212101	2002	2002	5	60	153	7	0.046
Africa	Uganda	UG	 	0.4628	34.095299	1998	2005	8	13	120	2	0.01667
Africa	Uganda	UG	Masindi	2.25	32.25	2002	2002	5	60	127	14	0.11024
Africa	Uganda	UG	Masaka	-0.6479	31.7987	2002	2002	5	60	66	2	0.0303
Africa	Uganda	UG	Hoima	1.5519	31.1691	2002	2002	5	60	156	124	0.79487
Africa	Uganda	UG	Mukono	0.890033	32.865299	1998	2005	8	14	64	0	0
Africa	Uganda	UG	Moroto	2.48088	34.611401	1998	2005	6	13	60	0	0
Africa	Uganda	UG	Mukono	0.2767	32.792801	1998	2005	7	14	64	0	0
Africa	Uganda	UG	Moyo	3.4872	31.5466	1998	2005	7	17	59	15	0.25424
Africa	Uganda	UG	Masindi	2.1009	32.314701	2002	2002	5	60	145	2	0.014
Africa	Uganda	UG	Moyo	3.32535	31.8932	1998	2005	9	17	61	58	0.95082
Africa	Uganda	UG	Lira	2.26566	33.1427	2002	2002	5	16	60	26	0.43
Africa	Uganda	UG	Moyo	3.21743	31.910101	1998	2005	9	14	62	59	0.95161
Africa	Uganda	UG	Rakai	-0.8294	31.698401	2002	2002	5	60	22	1	0.05
